FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,SE_ANNO_CAD_DATA
HUNDEZONEOGD.94347,94347,POINT (16.443920313535333 48.161120640343526),Schloß Neugebäude - Unterer Garten,1821 m²,Hundeauslaufplatz,01 4000 8042,"Wildzaun 2m, Stabilgitterzaun 1m ",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94348,94348,POINT (16.359496900183082 48.252499121366036),Heiligenstädter Park,1886 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m mit 2 Toren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94349,94349,POINT (16.311637187681978 48.227031226564456),Alszeile (ggü Sportclubplatz),877 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 2 Schwingflügeltüren, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94350,94350,POINT (16.38127384238385 48.252783735560314),Donauinsel Nord (MA45),12796 m²,Hundeauslaufplatz,01 4000 8042,Kennzeichnung mittels Pflöcken,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94351,94351,POINT (16.40376704919644 48.22557080536232),Mexikopark - Rosenpark,4653 m²,Hundezone,01 4000 8042,"Gitterzaun 1,4 m",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94352,94352,POINT (16.32572511832731 48.16313516069745),Miep-Gies-Park,710 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94353,94353,POINT (16.33819150145887 48.187168893168476),Parkanlage Harthausergasse,644 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94354,94354,POINT (16.385758005186183 48.172469705301054),Puchsbaumpark,632 m²,Hundezone,01 4000 8042,Stabilgitterzaun 1m 2 Schwingflügeltüren,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94355,94355,POINT (16.405642849731738 48.27451286559231),Parkanlage Thomagasse,745 m²,Hundezone,01 4000 8042,"Stabilgitterzaun 1m 2 Schwingflügeltüren, 1 Tor",http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94356,94356,POINT (16.410857969225315 48.20880989039713),Prater - Pelzmais,121721 m²,Hundeauslaufplatz,01 4000 8042,keine Einfriedung,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94357,94357,POINT (16.32123575559638 48.14848351687315),Altmannsdorfer Straße vor ONr. 168-170,463 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
HUNDEZONEOGD.94358,94358,POINT (16.322067973000756 48.14563581216397),Altmannsdorfer Straße vor ONr. 178-182,411 m²,Hundezone,01 4000 8042,keine Angabe,http://www.wien.gv.at/umwelt/parks/hundezonen.html,
